code_bss,variation_20y_cm,station_class,codepoly,CodeEH
00061X0117/PZ1,242.369510457502,Forte hausse (≥ +50 cm),138926,119
00065X0148/P,-18.137742368092997,Quasi stable (-20 à +20 cm),13608,119
00067X0183/PZ1,35.313552469513795,Hausse modérée (+20 à +50 cm),13562,123
00068X0010/F295,179.59893953199278,Forte hausse (≥ +50 cm),24660,121
00103X0322/F,12.724096609401201,Quasi stable (-20 à +20 cm),24561,135
00104X0054/P1,7.728970546389399,Quasi stable (-20 à +20 cm),41900,135
00107X0006/P1,258.688839177239,Forte hausse (≥ +50 cm),24812,119
00115X0011/P1,108.08618875192938,Forte hausse (≥ +50 cm),24790,121
00124X0023/F1,-296.58631156976,Forte baisse (≤ -50 cm),115593,117
00143C0079/F1,-264.03504141689734,Forte baisse (≤ -50 cm),26693,117
00146B0007/F1,568.1958353373429,Forte hausse (≥ +50 cm),25044,918
00147D0218/P1,59.1462175535148,Forte hausse (≥ +50 cm),85814,119
00171X0051/P1,40.7369281705282,Hausse modérée (+20 à +50 cm),125442,121
00172X0037/P1,166.87685328233758,Forte hausse (≥ +50 cm),74784,119
00182X0010/P1,-75.65858868466779,Forte baisse (≤ -50 cm),90571,121
00182X0031/P,162.6322483057946,Forte hausse (≥ +50 cm),24741,119
00197X0049/F2,82.4077916051448,Forte hausse (≥ +50 cm),14653,121
00198X0123/P1,101.91029731061421,Forte hausse (≥ +50 cm),25008,121
00203A0359/PZ2,-63.694384741667,Forte baisse (≤ -50 cm),85988,119
00207X0133/F1,181.6185757933892,Forte hausse (≥ +50 cm),24929,119
00216X0073/PZ3,-42.8680949741588,Baisse modérée (-50 à -20 cm),15028,119
00217X0068/P1,3.3140936827063996,Quasi stable (-20 à +20 cm),14713,916
00225X0077/FC2,32.0382436520396,Hausse modérée (+20 à +50 cm),14729,916
00238X0037/F,32.909497063847404,Hausse modérée (+20 à +50 cm),131340,119
00241X0012/P1,254.07334095670117,Forte hausse (≥ +50 cm),59557,119
00253X0044/PZ1,81.4072222663938,Forte hausse (≥ +50 cm),90537,119
00254X0037/PZ1,211.3907031722076,Forte hausse (≥ +50 cm),59629,119
00263X0006/P1,60.017920271660394,Forte hausse (≥ +50 cm),14891,119
00263X0129/PZASA4,19.365387844127802,Quasi stable (-20 à +20 cm),83643,119
00271X0002/P2,175.8457785729306,Forte hausse (≥ +50 cm),14846,119
00275X0005/P1,95.45426531697599,Forte hausse (≥ +50 cm),24962,121
00281X0002/F1,293.86784189705975,Forte hausse (≥ +50 cm),14797,119
00281X0004/F1,68.1160633696034,Forte hausse (≥ +50 cm),25361,119
00286X0405/PZST2,-43.252671534187606,Baisse modérée (-50 à -20 cm),25217,119
00291X0031/P1,82.45304943995201,Forte hausse (≥ +50 cm),35882,119
