code_bss,year,annual_mean,n_points_year
00061X0117/PZ1,2005,15.66686274509803,51
00061X0117/PZ1,2006,16.917692307692313,52
00061X0117/PZ1,2007,18.546382978723404,47
00061X0117/PZ1,2008,19.552857142857142,7
00061X0117/PZ1,2009,16.723733766233767,308
00061X0117/PZ1,2010,18.60550684931508,365
00061X0117/PZ1,2011,15.491753424657531,365
00061X0117/PZ1,2012,17.02994535519125,366
00061X0117/PZ1,2013,19.54257534246575,365
00061X0117/PZ1,2014,19.927726027397256,365
00061X0117/PZ1,2015,19.384328767123286,365
00061X0117/PZ1,2016,20.207049180327882,366
00061X0117/PZ1,2017,16.740712328767124,365
00061X0117/PZ1,2018,16.799315068493136,365
00061X0117/PZ1,2019,15.7810684931507,365
00061X0117/PZ1,2020,19.489918032786893,366
00061X0117/PZ1,2021,19.260684931506855,365
00061X0117/PZ1,2022,17.349561643835617,365
00061X0117/PZ1,2023,21.23479452054795,365
00061X0117/PZ1,2024,22.27863387978142,366
00061X0117/PZ1,2025,18.08634615384616,364
00065X0148/P,2005,113.33600000000001,10
00065X0148/P,2006,113.84834146341467,205
00065X0148/P,2007,113.89334246575345,365
00065X0148/P,2008,113.87199453551916,366
00065X0148/P,2009,113.88484126984127,252
00065X0148/P,2010,113.6640273972601,365
00065X0148/P,2011,113.50563291139238,316
00065X0148/P,2012,113.86853372434042,341
00065X0148/P,2013,113.6095072463768,345
00065X0148/P,2014,113.81750684931508,365
00065X0148/P,2015,113.78052054794519,365
00065X0148/P,2016,113.7990983606556,366
00065X0148/P,2017,113.6644109589042,365
00065X0148/P,2018,113.50797260273966,365
00065X0148/P,2019,113.69136986301379,365
00065X0148/P,2020,113.74352459016404,366
00065X0148/P,2021,113.78159340659337,364
00065X0148/P,2022,113.09509589041092,365
00065X0148/P,2023,113.7109433962264,318
00065X0148/P,2024,113.83409836065583,366
00065X0148/P,2025,113.3871978021977,364
00067X0183/PZ1,2005,48.458784530386716,362
00067X0183/PZ1,2006,48.78621848739494,357
00067X0183/PZ1,2007,49.32591397849462,186
00067X0183/PZ1,2008,46.13295964125561,223
00067X0183/PZ1,2009,46.48950684931506,365
00067X0183/PZ1,2010,48.22575342465755,365
00067X0183/PZ1,2011,47.526136986301374,365
00067X0183/PZ1,2012,48.42830601092891,366
00067X0183/PZ1,2013,48.48819178082192,365
00067X0183/PZ1,2014,48.56744744744744,333
00067X0183/PZ1,2015,48.29361111111111,324
00067X0183/PZ1,2016,48.4930054644809,366
00067X0183/PZ1,2017,47.670876712328756,365
00067X0183/PZ1,2018,48.050410958904074,365
00067X0183/PZ1,2019,47.7200821917808,365
00067X0183/PZ1,2020,48.6420218579235,366
00067X0183/PZ1,2021,48.48274336283184,339
00067X0183/PZ1,2022,47.73619178082195,365
00067X0183/PZ1,2023,49.14008219178083,365
00067X0183/PZ1,2024,48.7640163934426,366
00067X0183/PZ1,2025,47.66736263736262,364
00068X0010/F295,2005,29.717027027027033,37
00068X0010/F295,2006,30.974054054054047,37
00068X0010/F295,2007,32.247378048780476,164
00068X0010/F295,2008,33.03706293706293,143
00068X0010/F295,2009,31.109421768707495,294
00068X0010/F295,2010,32.856435643564346,303
00068X0010/F295,2011,29.543561643835616,219
00068X0010/F295,2012,30.71204918032787,366
00068X0010/F295,2013,33.81369863013697,365
00068X0010/F295,2014,33.719561643835604,365
00068X0010/F295,2015,31.824301369863022,365
00068X0010/F295,2016,33.01005464480873,366
00068X0010/F295,2017,31.13427397260271,365
00068X0010/F295,2018,31.757808219178084,365
00068X0010/F295,2019,29.693287671232905,365
00068X0010/F295,2020,32.443593314763234,359
00068X0010/F295,2021,32.53953424657533,365
00068X0010/F295,2022,31.176328767123273,365
00068X0010/F295,2023,33.55504109589042,365
00068X0010/F295,2024,36.227786885245905,366
00068X0010/F295,2025,31.74118131868131,364
00103X0322/F,2006,65.85967391304347,92
00103X0322/F,2007,66.16474626865666,335
00103X0322/F,2008,64.94075709779182,317
00103X0322/F,2009,64.8348591549296,284
00103X0322/F,2010,65.57823717948716,312
00103X0322/F,2011,65.38468493150684,365
00103X0322/F,2012,66.28169398907109,366
00103X0322/F,2013,65.8272527472528,364
00103X0322/F,2014,65.73216438356168,365
00103X0322/F,2015,65.8517534246576,365
00103X0322/F,2016,65.90748633879782,366
00103X0322/F,2017,65.1247123287671,365
00103X0322/F,2018,65.48169863013696,365
00103X0322/F,2019,65.49835616438354,365
00103X0322/F,2020,65.79043715846996,366
00103X0322/F,2021,65.65115068493154,365
00103X0322/F,2022,65.48405479452055,365
00103X0322/F,2023,65.9738356164384,365
00103X0322/F,2024,66.10584699453551,366
00103X0322/F,2025,65.33604395604398,364
00104X0054/P1,2005,41.361999999999995,15
00104X0054/P1,2006,41.63133333333333,15
00104X0054/P1,2007,41.74473053892216,167
00104X0054/P1,2008,41.6340163934426,366
00104X0054/P1,2009,41.25528875379939,329
00104X0054/P1,2010,41.43241176470591,340
00104X0054/P1,2011,40.77021917808216,365
00104X0054/P1,2012,41.6801639344262,366
00104X0054/P1,2013,41.78600000000001,365
00104X0054/P1,2014,41.88315068493151,365
00104X0054/P1,2015,41.742410958904095,365
00104X0054/P1,2016,41.855956284152995,366
00104X0054/P1,2017,40.95750684931508,365
00104X0054/P1,2018,41.224164383561686,365
00104X0054/P1,2019,41.112301369863026,365
00104X0054/P1,2020,41.63278688524592,366
00104X0054/P1,2021,41.42643835616438,365
00104X0054/P1,2022,41.177972602739715,365
00104X0054/P1,2023,42.07241095890411,365
00104X0054/P1,2024,42.15090163934426,366
00104X0054/P1,2025,41.21454794520546,365
00107X0006/P1,2005,55.14980263157889,304
00107X0006/P1,2006,56.82864788732389,355
00107X0006/P1,2007,58.25819004524883,221
00107X0006/P1,2008,57.2576923076923,273
00107X0006/P1,2009,59.901455696202554,158
00107X0006/P1,2010,60.77738636363634,352
00107X0006/P1,2011,54.866383561643865,365
00107X0006/P1,2012,60.46983606557374,366
00107X0006/P1,2013,60.961205479452055,365
00107X0006/P1,2014,60.40030136986297,365
00107X0006/P1,2015,59.02805479452059,365
00107X0006/P1,2016,58.943169398907116,366
00107X0006/P1,2017,54.92547945205483,365
00107X0006/P1,2018,57.1159726027397,365
00107X0006/P1,2019,55.222958904109575,365
00107X0006/P1,2020,60.445601092896176,366
00107X0006/P1,2021,60.036109589041025,365
00107X0006/P1,2022,56.20624657534246,365
00107X0006/P1,2023,63.776082191780816,365
00107X0006/P1,2024,63.563825136612,366
00107X0006/P1,2025,57.67084931506855,365
00115X0011/P1,2005,82.3284615384615,52
00115X0011/P1,2006,83.81499999999997,52
00115X0011/P1,2007,85.2654545454545,55
00115X0011/P1,2008,83.73799999999997,50
00115X0011/P1,2009,83.22313253012047,249
00115X0011/P1,2010,83.98614705882355,340
00115X0011/P1,2011,81.47098630136988,365
00115X0011/P1,2012,84.76207650273228,366
00115X0011/P1,2013,84.89331506849318,365
00115X0011/P1,2014,84.32791780821914,365
00115X0011/P1,2015,83.3582739726027,365
00115X0011/P1,2016,85.04696721311483,366
00115X0011/P1,2017,82.42819178082188,365
00115X0011/P1,2018,83.35550684931509,365
00115X0011/P1,2019,81.57860273972605,365
00115X0011/P1,2020,85.29521857923498,366
00115X0011/P1,2021,84.24016438356165,365
00115X0011/P1,2022,82.34936986301386,365
00115X0011/P1,2023,86.89339726027399,365
00115X0011/P1,2024,87.08177595628413,366
00115X0011/P1,2025,82.75465753424668,365
00124X0023/F1,2005,13.02,8
00124X0023/F1,2006,13.214166666666666,12
00124X0023/F1,2007,13.221460674157308,89
00124X0023/F1,2008,13.060956284152994,366
00124X0023/F1,2009,12.79426160337554,237
00124X0023/F1,2010,11.935793103448287,290
00124X0023/F1,2011,11.578054794520538,365
00124X0023/F1,2012,12.01704918032787,366
00124X0023/F1,2013,11.93853521126761,355
00124X0023/F1,2014,11.700054794520543,365
00124X0023/F1,2015,11.210082191780826,365
00124X0023/F1,2016,11.218142076502737,366
00124X0023/F1,2017,10.753178082191752,365
00124X0023/F1,2018,10.515709090909098,275
00124X0023/F1,2019,10.299780821917796,365
00124X0023/F1,2020,10.227131147540984,366
00124X0023/F1,2021,10.870465753424655,365
00124X0023/F1,2022,10.786712328767129,365
00124X0023/F1,2023,10.71553424657534,365
00124X0023/F1,2024,11.020163934426234,366
00124X0023/F1,2025,10.428324175824171,364
00143C0079/F1,2005,-64.54000000000002,11
00143C0079/F1,2006,-64.75375,8
00143C0079/F1,2007,-61.41512820512821,117
00143C0079/F1,2008,-59.884153005464505,366
00143C0079/F1,2009,-58.78653295128936,349
00143C0079/F1,2010,-58.26465317919078,346
00143C0079/F1,2011,-57.76039426523302,279
00143C0079/F1,2012,-57.93617486338795,366
00143C0079/F1,2013,-59.11457534246572,365
00143C0079/F1,2014,-59.07208219178086,365
00143C0079/F1,2015,-59.148895027624306,362
00143C0079/F1,2016,-59.01631205673761,282
00143C0079/F1,2017,-60.18024657534249,365
00143C0079/F1,2018,-61.71747945205479,365
00143C0079/F1,2019,-63.14389041095894,365
00143C0079/F1,2020,-63.64680327868853,366
00143C0079/F1,2021,-63.700219178082165,365
00143C0079/F1,2022,-64.03473972602745,365
00143C0079/F1,2023,-63.55180821917802,365
00143C0079/F1,2024,-62.747704918032795,366
00143C0079/F1,2025,-62.76140109890113,364
00146B0007/F1,2005,8.605454545454544,11
00146B0007/F1,2006,10.371666666666666,12
00146B0007/F1,2007,11.615000000000002,8
00146B0007/F1,2008,11.441666666666668,6
00146B0007/F1,2009,14.229546925566344,309
00146B0007/F1,2010,14.292767123287675,365
00146B0007/F1,2011,14.47367123287672,365
00146B0007/F1,2012,14.962296918767512,357
00146B0007/F1,2013,14.681963190184048,326
00146B0007/F1,2014,15.10727019498606,359
00146B0007/F1,2015,15.709059829059834,351
00146B0007/F1,2016,16.38364583333334,288
00146B0007/F1,2017,15.818273972602737,365
00146B0007/F1,2018,15.96682191780821,365
00146B0007/F1,2019,15.635589041095892,365
00146B0007/F1,2020,15.573114754098349,366
00146B0007/F1,2021,15.574739726027376,365
00146B0007/F1,2022,15.416164383561638,365
00146B0007/F1,2023,15.946849315068487,365
00146B0007/F1,2024,16.452158469945328,366
00146B0007/F1,2025,16.192609890109885,364
00147D0218/P1,2005,17.988846153846154,52
00147D0218/P1,2006,19.063333333333333,60
00147D0218/P1,2007,18.68468493150685,365
00147D0218/P1,2008,18.749203539822993,339
00147D0218/P1,2009,18.665580110497228,362
00147D0218/P1,2010,18.492876712328762,365
00147D0218/P1,2011,18.420082191780807,365
00147D0218/P1,2012,19.265273224043717,366
00147D0218/P1,2013,19.777452054794505,365
00147D0218/P1,2014,19.48841095890411,365
00147D0218/P1,2015,18.260334448160545,299
00147D0218/P1,2016,20.015323943661976,355
00147D0218/P1,2017,18.17093150684931,365
00147D0218/P1,2018,19.186189024390256,328
00147D0218/P1,2019,17.712630136986306,365
00147D0218/P1,2020,18.10647590361447,332
00147D0218/P1,2021,19.348575342465775,365
00147D0218/P1,2022,18.510301369863015,365
00147D0218/P1,2023,19.289151515151516,330
00147D0218/P1,2024,20.567868852459004,366
00147D0218/P1,2025,18.95427397260273,365
00171X0051/P1,2005,38.892307692307696,52
00171X0051/P1,2006,39.45692307692308,52
00171X0051/P1,2007,40.23109589041095,146
00171X0051/P1,2008,39.58901639344259,366
00171X0051/P1,2009,38.85893150684928,365
00171X0051/P1,2010,39.578602739726044,365
00171X0051/P1,2011,38.22657534246572,365
00171X0051/P1,2012,40.051830601092895,366
00171X0051/P1,2013,40.395808219178086,365
00171X0051/P1,2014,40.014164383561656,365
00171X0051/P1,2015,38.82468493150684,365
00171X0051/P1,2016,39.68120218579233,366
00171X0051/P1,2017,38.79884931506851,365
00171X0051/P1,2018,39.177945205479496,365
00171X0051/P1,2019,38.71361643835616,365
00171X0051/P1,2020,40.29049180327866,366
00171X0051/P1,2021,39.810575342465754,365
00171X0051/P1,2022,38.71958904109587,365
00171X0051/P1,2023,40.99893150684932,365
00171X0051/P1,2024,41.375058139534886,344
00171X0051/P1,2025,38.22179487179492,273
00172X0037/P1,2005,118.12538461538462,52
00172X0037/P1,2006,117.86427450980392,255
00172X0037/P1,2007,121.16668493150684,365
00172X0037/P1,2008,118.9357096774194,310
00172X0037/P1,2009,117.04076642335767,274
00172X0037/P1,2010,119.79934911242606,338
00172X0037/P1,2011,116.44156164383563,365
00172X0037/P1,2012,121.69898907103816,366
00172X0037/P1,2013,127.59014925373134,201
00172X0037/P1,2014,119.47350684931516,365
00172X0037/P1,2015,118.95038356164389,365
00172X0037/P1,2016,121.30174863387973,366
00172X0037/P1,2017,117.40715068493157,365
00172X0037/P1,2018,118.08717808219178,365
00172X0037/P1,2019,117.07983561643833,365
00172X0037/P1,2020,122.59420765027322,366
00172X0037/P1,2021,119.55794520547951,365
00172X0037/P1,2022,116.70824657534246,365
00172X0037/P1,2023,124.38145205479437,365
00172X0037/P1,2024,124.21010928961749,366
00172X0037/P1,2025,117.60057534246587,365
00182X0010/P1,2005,99.96923076923073,52
00182X0010/P1,2006,99.95586065573775,244
00182X0010/P1,2007,105.8382191780823,365
00182X0010/P1,2008,107.85022727272725,176
00182X0010/P1,2009,101.68857142857141,98
00182X0010/P1,2010,100.44397260273973,365
00182X0010/P1,2011,97.81991780821919,365
00182X0010/P1,2012,104.34210382513663,366
00182X0010/P1,2013,103.70545205479458,365
00182X0010/P1,2014,103.25794520547953,365
00182X0010/P1,2015,101.36997260273967,365
00182X0010/P1,2016,102.79759562841528,366
00182X0010/P1,2017,98.66221917808213,365
00182X0010/P1,2018,101.02345205479448,365
00182X0010/P1,2019,99.70257534246564,365
00182X0010/P1,2020,103.07445355191257,366
00182X0010/P1,2021,102.51991780821913,365
00182X0010/P1,2022,98.50243835616445,365
00182X0010/P1,2023,104.29205479452061,365
00182X0010/P1,2024,104.75032786885247,366
00182X0010/P1,2025,100.00490410958902,365
00182X0031/P,2006,152.78831249999993,160
00182X0031/P,2007,159.77068493150685,365
00182X0031/P,2008,158.03682320441996,362
00182X0031/P,2009,158.25449367088603,316
00182X0031/P,2010,156.42909589041105,365
00182X0031/P,2011,154.72126027397255,365
00182X0031/P,2012,159.19953551912565,366
00182X0031/P,2013,157.3236712328768,365
