code_bss,date_mesure,niveau_nappe_eau
00751X0004/S1,2005-01-01,54.61
00751X0004/S1,2005-01-02,54.61
00751X0004/S1,2005-01-03,54.59
00751X0004/S1,2005-01-04,54.59
00751X0004/S1,2005-01-05,54.59
00751X0004/S1,2005-01-06,54.59
00751X0004/S1,2005-01-07,54.57
00751X0004/S1,2005-01-08,54.57
00751X0004/S1,2005-01-09,54.55
00751X0004/S1,2005-01-10,54.55
00751X0004/S1,2005-01-11,54.55
00751X0004/S1,2005-01-12,54.53
00751X0004/S1,2005-01-13,54.52
00751X0004/S1,2005-01-14,54.52
00751X0004/S1,2005-01-15,54.52
00751X0004/S1,2005-01-16,54.5
00751X0004/S1,2005-01-17,54.5
00751X0004/S1,2005-01-18,54.5
00751X0004/S1,2005-01-19,54.48
00751X0004/S1,2005-01-20,54.48
00751X0004/S1,2005-01-21,54.48
00751X0004/S1,2005-01-22,54.46
00751X0004/S1,2005-01-23,54.46
00751X0004/S1,2005-01-24,54.46
00751X0004/S1,2005-01-25,54.43
00751X0004/S1,2005-01-26,54.43
00751X0004/S1,2005-01-27,54.43
00751X0004/S1,2005-01-28,54.41
00751X0004/S1,2005-01-29,54.39
00751X0004/S1,2005-01-30,54.39
00751X0004/S1,2005-01-31,54.39
00751X0004/S1,2005-02-01,54.39
00751X0004/S1,2005-02-02,54.37
00751X0004/S1,2005-02-03,54.36
00751X0004/S1,2005-02-04,54.36
00751X0004/S1,2005-02-05,54.36
00751X0004/S1,2005-02-06,54.34
00751X0004/S1,2005-02-07,54.34
00751X0004/S1,2005-02-08,54.34
00751X0004/S1,2005-02-09,54.32
00751X0004/S1,2005-02-10,54.32
00751X0004/S1,2005-02-11,54.32
00751X0004/S1,2005-02-12,54.32
00751X0004/S1,2005-02-13,54.3
00751X0004/S1,2005-02-14,54.3
00751X0004/S1,2005-02-15,54.3
00751X0004/S1,2005-02-16,54.28
00751X0004/S1,2005-02-17,54.27
00751X0004/S1,2005-02-18,54.28
00751X0004/S1,2005-02-19,54.27
00751X0004/S1,2005-02-20,54.27
00751X0004/S1,2005-02-21,54.27
00751X0004/S1,2005-02-22,54.27
00751X0004/S1,2005-02-23,54.25
00751X0004/S1,2005-02-24,54.25
00751X0004/S1,2005-02-25,54.25
00751X0004/S1,2005-02-26,54.25
00751X0004/S1,2005-02-27,54.23
00751X0004/S1,2005-02-28,54.23
00751X0004/S1,2005-03-01,54.23
00751X0004/S1,2005-03-02,54.23
00751X0004/S1,2005-03-03,54.23
00751X0004/S1,2005-03-04,54.21
00751X0004/S1,2005-03-05,54.23
00751X0004/S1,2005-03-06,54.21
00751X0004/S1,2005-03-07,54.2
00751X0004/S1,2005-03-08,54.18
00751X0004/S1,2005-03-09,54.18
00751X0004/S1,2005-03-10,54.18
00751X0004/S1,2005-03-11,54.18
00751X0004/S1,2005-03-12,54.18
00751X0004/S1,2005-03-13,54.18
00751X0004/S1,2005-03-14,54.18
00751X0004/S1,2005-03-15,54.16
00751X0004/S1,2005-03-16,54.16
00751X0004/S1,2005-03-17,54.16
00751X0004/S1,2005-03-18,54.16
00751X0004/S1,2005-03-19,54.16
00751X0004/S1,2005-03-20,54.16
00751X0004/S1,2005-03-21,54.16
00751X0004/S1,2005-03-22,54.16
00751X0004/S1,2005-03-23,54.14
00751X0004/S1,2005-03-24,54.16
00751X0004/S1,2005-03-25,54.16
00751X0004/S1,2005-03-26,54.16
00751X0004/S1,2005-03-27,54.16
00751X0004/S1,2005-03-28,54.16
00751X0004/S1,2005-03-29,54.16
00751X0004/S1,2005-03-30,54.14
00751X0004/S1,2005-03-31,54.14
00751X0004/S1,2005-04-01,54.14
00751X0004/S1,2005-04-02,54.14
00751X0004/S1,2005-04-03,54.14
00751X0004/S1,2005-04-04,54.14
00751X0004/S1,2005-04-05,54.14
00751X0004/S1,2005-04-06,54.12
00751X0004/S1,2005-04-07,54.14
00751X0004/S1,2005-04-08,54.14
00751X0004/S1,2005-04-09,54.14
00751X0004/S1,2005-04-10,54.14
00751X0004/S1,2005-04-11,54.12
00751X0004/S1,2005-04-12,54.12
00751X0004/S1,2005-04-13,54.14
00751X0004/S1,2005-04-14,54.16
00751X0004/S1,2005-04-15,54.16
00751X0004/S1,2005-04-16,54.16
00751X0004/S1,2005-04-17,54.16
00751X0004/S1,2005-04-18,54.18
00751X0004/S1,2005-04-19,54.18
00751X0004/S1,2005-04-20,54.18
00751X0004/S1,2005-04-21,54.18
00751X0004/S1,2005-04-22,54.18
00751X0004/S1,2005-04-23,54.18
00751X0004/S1,2005-04-24,54.18
00751X0004/S1,2005-04-25,54.2
00751X0004/S1,2005-04-26,54.18
00751X0004/S1,2005-04-27,54.18
00751X0004/S1,2005-04-28,54.18
00751X0004/S1,2005-04-29,54.18
00751X0004/S1,2005-04-30,54.2
00751X0004/S1,2005-05-01,54.2
00751X0004/S1,2005-05-02,54.21
00751X0004/S1,2005-05-03,54.21
00751X0004/S1,2005-05-04,54.21
00751X0004/S1,2005-05-05,54.21
00751X0004/S1,2005-05-06,54.21
00751X0004/S1,2005-05-07,54.21
00751X0004/S1,2005-05-08,54.21
00751X0004/S1,2005-05-09,54.23
00751X0004/S1,2005-05-10,54.23
00751X0004/S1,2005-05-11,54.23
00751X0004/S1,2005-05-12,54.25
00751X0004/S1,2005-05-13,54.25
00751X0004/S1,2005-05-14,54.25
00751X0004/S1,2005-05-15,54.25
00751X0004/S1,2005-05-16,54.27
00751X0004/S1,2005-05-17,54.27
00751X0004/S1,2005-05-18,54.27
00751X0004/S1,2005-05-19,54.28
00751X0004/S1,2005-05-20,54.3
00751X0004/S1,2005-05-21,54.3
00751X0004/S1,2005-05-22,54.32
00751X0004/S1,2005-05-23,54.32
00751X0004/S1,2005-05-24,54.32
00751X0004/S1,2005-05-25,54.32
00751X0004/S1,2005-05-26,54.34
00751X0004/S1,2005-05-27,54.34
00751X0004/S1,2005-05-28,54.34
00751X0004/S1,2005-05-29,54.36
00751X0004/S1,2005-05-30,54.36
00751X0004/S1,2005-05-31,54.36
00751X0004/S1,2005-06-01,54.39
00751X0004/S1,2005-06-02,54.39
00751X0004/S1,2005-06-03,54.41
00751X0004/S1,2005-06-04,54.41
00751X0004/S1,2005-06-05,54.41
00751X0004/S1,2005-06-06,54.43
00751X0004/S1,2005-06-07,54.43
00751X0004/S1,2005-06-08,54.43
00751X0004/S1,2005-06-09,54.43
00751X0004/S1,2005-06-10,54.45
00751X0004/S1,2005-06-11,54.46
00751X0004/S1,2005-06-12,54.48
00751X0004/S1,2005-06-13,54.48
00751X0004/S1,2005-06-14,54.5
00751X0004/S1,2005-06-15,54.5
00751X0004/S1,2005-06-16,54.52
00751X0004/S1,2005-06-17,54.52
00751X0004/S1,2005-06-18,54.52
00751X0004/S1,2005-06-19,54.53
00751X0004/S1,2005-06-20,54.55
00751X0004/S1,2005-06-21,54.57
00751X0004/S1,2005-06-22,54.57
00751X0004/S1,2005-06-23,54.59
00751X0004/S1,2005-06-24,54.61
00751X0004/S1,2005-06-25,54.61
00751X0004/S1,2005-06-26,54.61
00751X0004/S1,2005-06-27,54.64
00751X0004/S1,2005-06-28,54.66
00751X0004/S1,2005-06-29,54.66
00751X0004/S1,2005-06-30,54.68
00751X0004/S1,2005-07-01,54.68
00751X0004/S1,2005-07-02,54.7
00751X0004/S1,2005-07-03,54.71
00751X0004/S1,2005-07-04,54.73
00751X0004/S1,2005-07-05,54.73
00751X0004/S1,2005-07-06,54.75
00751X0004/S1,2005-07-07,54.77
00751X0004/S1,2005-07-08,54.77
00751X0004/S1,2005-07-09,54.77
00751X0004/S1,2005-07-10,54.77
00751X0004/S1,2005-07-11,54.77
00751X0004/S1,2005-07-12,54.77
00751X0004/S1,2005-07-13,54.77
00751X0004/S1,2005-07-14,54.77
00751X0004/S1,2005-07-15,54.8
00751X0004/S1,2005-07-16,54.8
00751X0004/S1,2005-07-17,54.82
00751X0004/S1,2005-07-18,54.84
00751X0004/S1,2005-07-19,54.84
00751X0004/S1,2005-07-20,54.84
00751X0004/S1,2005-07-21,54.84
00751X0004/S1,2005-07-22,54.86
00751X0004/S1,2005-07-23,54.87
00751X0004/S1,2005-07-24,54.89
00751X0004/S1,2005-07-25,54.91
00751X0004/S1,2005-07-26,54.91
00751X0004/S1,2005-07-27,54.93
00751X0004/S1,2005-07-28,54.93
00751X0004/S1,2005-07-29,54.95
00751X0004/S1,2005-07-30,54.95
00751X0004/S1,2005-07-31,54.95
00751X0004/S1,2005-08-01,54.95
00751X0004/S1,2005-08-02,54.93
00751X0004/S1,2005-08-03,54.93
00751X0004/S1,2005-08-04,54.91
00751X0004/S1,2005-08-05,54.91
00751X0004/S1,2005-08-06,54.91
00751X0004/S1,2005-08-07,54.91
00751X0004/S1,2005-08-08,54.91
00751X0004/S1,2005-08-09,54.93
00751X0004/S1,2005-08-10,54.93
00751X0004/S1,2005-08-11,54.93
00751X0004/S1,2005-08-12,54.93
00751X0004/S1,2005-08-13,54.93
00751X0004/S1,2005-08-14,54.93
00751X0004/S1,2005-08-15,54.91
00751X0004/S1,2005-08-16,54.91
00751X0004/S1,2005-08-17,54.91
00751X0004/S1,2005-08-18,54.91
00751X0004/S1,2005-08-19,54.91
00751X0004/S1,2005-08-20,54.91
00751X0004/S1,2005-08-21,54.89
00751X0004/S1,2005-08-22,54.89
00751X0004/S1,2005-08-23,54.89
00751X0004/S1,2005-08-24,54.89
00751X0004/S1,2005-08-25,54.91
00751X0004/S1,2005-08-26,54.89
00751X0004/S1,2005-08-27,54.89
00751X0004/S1,2005-08-28,54.87
00751X0004/S1,2005-08-29,54.86
00751X0004/S1,2005-08-30,54.84
00751X0004/S1,2005-08-31,54.84
00751X0004/S1,2005-09-01,54.84
00751X0004/S1,2005-09-02,54.82
00751X0004/S1,2005-09-03,54.8
00751X0004/S1,2005-09-04,54.78
00751X0004/S1,2005-09-05,54.78
00751X0004/S1,2005-09-06,54.8
00751X0004/S1,2005-09-07,54.8
00751X0004/S1,2005-09-08,54.78
00751X0004/S1,2005-09-09,54.78
00751X0004/S1,2005-09-10,54.78
00751X0004/S1,2005-09-11,54.77
00751X0004/S1,2005-09-12,54.77
00751X0004/S1,2005-09-13,54.73
00751X0004/S1,2005-09-14,54.71
00751X0004/S1,2005-09-15,54.71
00751X0004/S1,2005-09-16,54.71
00751X0004/S1,2005-09-17,54.68
00751X0004/S1,2005-09-18,54.68
00751X0004/S1,2005-09-19,54.66
00751X0004/S1,2005-09-20,54.64
00751X0004/S1,2005-09-21,54.64
00751X0004/S1,2005-09-22,54.64
00751X0004/S1,2005-09-23,54.62
00751X0004/S1,2005-09-24,54.61
00751X0004/S1,2005-09-25,54.61
00751X0004/S1,2005-09-26,54.61
00751X0004/S1,2005-09-27,54.59
00751X0004/S1,2005-09-28,54.59
00751X0004/S1,2005-09-29,54.59
00751X0004/S1,2005-09-30,54.57
00751X0004/S1,2005-10-01,54.57
00751X0004/S1,2005-10-02,54.55
00751X0004/S1,2005-10-03,54.55
00751X0004/S1,2005-10-04,54.53
00751X0004/S1,2005-10-05,54.52
00751X0004/S1,2005-10-06,54.52
00751X0004/S1,2005-10-07,54.52
00751X0004/S1,2005-10-08,54.52
00751X0004/S1,2005-10-09,54.52
00751X0004/S1,2005-10-10,54.5
00751X0004/S1,2005-10-11,54.5
00751X0004/S1,2005-10-12,54.5
00751X0004/S1,2005-10-13,54.5
00751X0004/S1,2005-10-14,54.48
00751X0004/S1,2005-10-15,54.48
00751X0004/S1,2005-10-16,54.46
00751X0004/S1,2005-10-17,54.46
00751X0004/S1,2005-10-18,54.46
00751X0004/S1,2005-10-19,54.45
00751X0004/S1,2005-10-20,54.45
00751X0004/S1,2005-10-21,54.45
00751X0004/S1,2005-10-22,54.45
00751X0004/S1,2005-10-23,54.43
00751X0004/S1,2005-10-24,54.41
00751X0004/S1,2005-10-25,54.41
00751X0004/S1,2005-10-26,54.46
00751X0004/S1,2005-10-27,54.39
00751X0004/S1,2005-10-28,54.39
00751X0004/S1,2005-10-29,54.39
00751X0004/S1,2005-10-30,54.37
00751X0004/S1,2005-10-31,54.36
00751X0004/S1,2005-11-01,54.36
00751X0004/S1,2005-11-02,54.36
00751X0004/S1,2005-11-03,54.34
00751X0004/S1,2005-11-04,54.34
00751X0004/S1,2005-11-05,54.32
00751X0004/S1,2005-11-06,54.32
00751X0004/S1,2005-11-07,54.3
00751X0004/S1,2005-11-08,54.3
00751X0004/S1,2005-11-09,54.3
00751X0004/S1,2005-11-10,54.27
00751X0004/S1,2005-11-11,54.27
00751X0004/S1,2005-11-12,54.27
00751X0004/S1,2005-11-13,54.27
00751X0004/S1,2005-11-14,54.25
00751X0004/S1,2005-11-15,54.27
00751X0004/S1,2005-11-16,54.27
00751X0004/S1,2005-11-17,54.25
00751X0004/S1,2005-11-18,54.25
00751X0004/S1,2005-11-19,54.23
00751X0004/S1,2005-11-20,54.23
00751X0004/S1,2005-11-21,54.23
00751X0004/S1,2005-11-22,54.21
00751X0004/S1,2005-11-23,54.2
00751X0004/S1,2005-11-24,54.2
00751X0004/S1,2005-11-25,54.21
00751X0004/S1,2005-11-26,54.21
00751X0004/S1,2005-11-27,54.21
00751X0004/S1,2005-11-28,54.21
00751X0004/S1,2005-11-29,54.21
00751X0004/S1,2005-11-30,54.18
00751X0004/S1,2005-12-01,54.18
00751X0004/S1,2005-12-02,54.2
00751X0004/S1,2005-12-03,54.18
00751X0004/S1,2005-12-04,54.18
00751X0004/S1,2005-12-05,54.18
00751X0004/S1,2005-12-06,54.36
00751X0004/S1,2005-12-07,54.21
00751X0004/S1,2005-12-08,54.16
00751X0004/S1,2005-12-09,54.12
00751X0004/S1,2005-12-10,54.12
00751X0004/S1,2005-12-11,54.11
00751X0004/S1,2005-12-12,54.11
00751X0004/S1,2005-12-13,54.09
00751X0004/S1,2005-12-14,54.11
00751X0004/S1,2005-12-15,54.11
00751X0004/S1,2005-12-16,54.11
00751X0004/S1,2005-12-17,54.11
00751X0004/S1,2005-12-18,54.11
00751X0004/S1,2005-12-19,54.11
00751X0004/S1,2005-12-20,54.09
00751X0004/S1,2005-12-21,54.09
00751X0004/S1,2005-12-22,54.09
00751X0004/S1,2005-12-23,54.07
00751X0004/S1,2005-12-24,54.07
00751X0004/S1,2005-12-25,54.07
00751X0004/S1,2005-12-26,54.05
00751X0004/S1,2005-12-27,54.05
00751X0004/S1,2005-12-28,54.05
00751X0004/S1,2005-12-29,54.05
00751X0004/S1,2005-12-30,54.03
00751X0004/S1,2005-12-31,54.03
00751X0004/S1,2006-01-01,54.03
00751X0004/S1,2006-01-02,54.0
00751X0004/S1,2006-01-03,54.0
00751X0004/S1,2006-01-04,54.0
00751X0004/S1,2006-01-05,54.0
00751X0004/S1,2006-01-06,54.0
00751X0004/S1,2006-01-07,53.98
00751X0004/S1,2006-01-08,53.98
00751X0004/S1,2006-01-09,53.96
00751X0004/S1,2006-01-10,53.96
00751X0004/S1,2006-01-11,53.96
00751X0004/S1,2006-01-12,53.95
00751X0004/S1,2006-01-13,53.93
00751X0004/S1,2006-01-14,53.93
00751X0004/S1,2006-01-15,53.93
00751X0004/S1,2006-01-16,53.93
00751X0004/S1,2006-01-17,53.91
00751X0004/S1,2006-01-18,53.91
00751X0004/S1,2006-01-19,53.89
00751X0004/S1,2006-01-20,53.89
00751X0004/S1,2006-01-21,53.87
00751X0004/S1,2006-01-22,53.86
00751X0004/S1,2006-01-23,53.86
00751X0004/S1,2006-01-24,53.86
00751X0004/S1,2006-01-25,53.84
00751X0004/S1,2006-01-26,53.84
00751X0004/S1,2006-01-27,53.82
00751X0004/S1,2006-01-28,53.82
00751X0004/S1,2006-01-29,53.8
00751X0004/S1,2006-01-30,53.8
00751X0004/S1,2006-01-31,53.8
00751X0004/S1,2006-02-01,53.78
00751X0004/S1,2006-02-02,53.77
00751X0004/S1,2006-02-03,53.77
00751X0004/S1,2006-02-04,53.77
00751X0004/S1,2006-02-05,53.75
00751X0004/S1,2006-02-06,53.73
00751X0004/S1,2006-02-07,53.73
00751X0004/S1,2006-02-08,53.73
00751X0004/S1,2006-02-09,53.73
00751X0004/S1,2006-02-10,53.71
00751X0004/S1,2006-02-11,53.7
00751X0004/S1,2006-02-12,53.68
00751X0004/S1,2006-02-13,53.68
00751X0004/S1,2006-02-14,53.68
00751X0004/S1,2006-02-15,53.68
00751X0004/S1,2006-02-16,53.68
00751X0004/S1,2006-02-17,53.68
00751X0004/S1,2006-02-18,53.66
00751X0004/S1,2006-02-19,53.66
00751X0004/S1,2006-02-20,53.64
00751X0004/S1,2006-02-21,53.64
00751X0004/S1,2006-02-22,53.64
00751X0004/S1,2006-02-23,53.61
00751X0004/S1,2006-02-24,53.61
00751X0004/S1,2006-02-25,53.61
00751X0004/S1,2006-02-26,53.61
00751X0004/S1,2006-02-27,53.59
00751X0004/S1,2006-02-28,53.59
00751X0004/S1,2006-03-01,53.59
00751X0004/S1,2006-03-02,53.59
00751X0004/S1,2006-03-03,53.59
00751X0004/S1,2006-03-04,53.57
00751X0004/S1,2006-03-05,53.57
00751X0004/S1,2006-03-06,53.57
00751X0004/S1,2006-03-07,53.55
00751X0004/S1,2006-03-08,53.55
00751X0004/S1,2006-03-09,53.55
00751X0004/S1,2006-03-10,53.53
00751X0004/S1,2006-03-11,53.52
00751X0004/S1,2006-03-12,53.52
00751X0004/S1,2006-03-13,53.5
00751X0004/S1,2006-03-14,53.5
00751X0004/S1,2006-03-15,53.5
00751X0004/S1,2006-03-16,53.5
00751X0004/S1,2006-03-17,53.48
00751X0004/S1,2006-03-18,53.5
00751X0004/S1,2006-03-19,53.48
00751X0004/S1,2006-03-20,53.48
00751X0004/S1,2006-03-21,53.48
00751X0004/S1,2006-03-22,53.48
00751X0004/S1,2006-03-23,53.46
00751X0004/S1,2006-03-24,53.48
00751X0004/S1,2006-03-25,53.46
00751X0004/S1,2006-03-26,53.45
00751X0004/S1,2006-03-27,53.45
00751X0004/S1,2006-03-28,53.45
00751X0004/S1,2006-03-29,53.43
00751X0004/S1,2006-03-30,53.43
00751X0004/S1,2006-03-31,53.41
00751X0004/S1,2006-04-01,53.41
00751X0004/S1,2006-04-02,53.41
00751X0004/S1,2006-04-03,53.41
00751X0004/S1,2006-04-04,53.39
00751X0004/S1,2006-04-05,53.39
00751X0004/S1,2006-04-06,53.37
00751X0004/S1,2006-04-07,53.37
00751X0004/S1,2006-04-08,53.37
00751X0004/S1,2006-04-09,53.36
00751X0004/S1,2006-04-10,53.36
00751X0004/S1,2006-04-11,53.34
00751X0004/S1,2006-04-12,53.34
00751X0004/S1,2006-04-13,53.34
00751X0004/S1,2006-04-14,53.34
00751X0004/S1,2006-04-15,53.32
00751X0004/S1,2006-04-16,53.32
00751X0004/S1,2006-04-17,53.32
00751X0004/S1,2006-04-18,53.32
00751X0004/S1,2006-04-19,53.3
00751X0004/S1,2006-04-20,53.3
00751X0004/S1,2006-04-21,53.3
00751X0004/S1,2006-04-22,53.3
00751X0004/S1,2006-04-23,53.3
00751X0004/S1,2006-04-24,53.28
00751X0004/S1,2006-04-25,53.27
00751X0004/S1,2006-04-26,53.27
00751X0004/S1,2006-04-27,53.27
00751X0004/S1,2006-04-28,53.27
00751X0004/S1,2006-04-29,53.25
00751X0004/S1,2006-04-30,53.25
00751X0004/S1,2006-05-01,53.25
00751X0004/S1,2006-05-02,53.25
00751X0004/S1,2006-05-03,53.25
00751X0004/S1,2006-05-04,53.25
00751X0004/S1,2006-05-05,53.23
00751X0004/S1,2006-05-06,53.25
00751X0004/S1,2006-05-07,53.25
00751X0004/S1,2006-05-08,53.25
00751X0004/S1,2006-05-09,53.23
00751X0004/S1,2006-05-10,53.23
00751X0004/S1,2006-05-11,53.23
00751X0004/S1,2006-05-12,53.23
00751X0004/S1,2006-05-13,53.23
00751X0004/S1,2006-05-14,53.21
00751X0004/S1,2006-05-15,53.23
00751X0004/S1,2006-05-16,53.21
00751X0004/S1,2006-05-17,53.21
00751X0004/S1,2006-05-18,53.23
00751X0004/S1,2006-05-19,53.23
00751X0004/S1,2006-05-20,53.23
00751X0004/S1,2006-05-21,53.23
00751X0004/S1,2006-05-22,53.25
00751X0004/S1,2006-05-23,53.23
00751X0004/S1,2006-05-24,53.23
00751X0004/S1,2006-05-25,53.23
00751X0004/S1,2006-05-26,53.23
00751X0004/S1,2006-05-27,53.21
00751X0004/S1,2006-05-28,53.21
00751X0004/S1,2006-05-29,53.23
00751X0004/S1,2006-05-30,53.23
00751X0004/S1,2006-05-31,53.25
00751X0004/S1,2006-06-01,53.25
00751X0004/S1,2006-06-02,53.27
00751X0004/S1,2006-06-03,53.27
00751X0004/S1,2006-06-04,53.27
00751X0004/S1,2006-06-05,53.27
00751X0004/S1,2006-06-06,53.27
00751X0004/S1,2006-06-07,53.28
00751X0004/S1,2006-06-08,53.28
00751X0004/S1,2006-06-09,53.28
00751X0004/S1,2006-06-10,53.3
00751X0004/S1,2006-06-11,53.3
00751X0004/S1,2006-06-12,53.3
00751X0004/S1,2006-06-13,53.3
00751X0004/S1,2006-06-14,53.3
00751X0004/S1,2006-06-15,53.32
00751X0004/S1,2006-06-16,53.32
00751X0004/S1,2006-06-17,53.32
00751X0004/S1,2006-06-18,53.32
00751X0004/S1,2006-06-19,53.32
00751X0004/S1,2006-06-20,53.32
00751X0004/S1,2006-06-21,53.34
00751X0004/S1,2006-06-22,53.27
00751X0004/S1,2006-06-23,53.25
00751X0004/S1,2006-06-24,53.27
00751X0004/S1,2006-06-25,53.27
00751X0004/S1,2006-06-26,53.36
00751X0004/S1,2006-06-27,53.36
00751X0004/S1,2006-06-28,53.36
00751X0004/S1,2006-06-29,53.37
00751X0004/S1,2006-06-30,53.37
00751X0004/S1,2006-07-01,53.39
00751X0004/S1,2006-07-02,53.39
00751X0004/S1,2006-07-03,53.39
00751X0004/S1,2006-07-04,53.39
00751X0004/S1,2006-07-05,53.41
00751X0004/S1,2006-07-06,53.41
00751X0004/S1,2006-07-07,53.41
00751X0004/S1,2006-07-08,53.41
00751X0004/S1,2006-07-09,53.41
00751X0004/S1,2006-07-10,53.41
00751X0004/S1,2006-07-11,53.41
00751X0004/S1,2006-07-12,53.39
00751X0004/S1,2006-07-13,53.39
00751X0004/S1,2006-07-14,53.39
00751X0004/S1,2006-07-15,53.39
00751X0004/S1,2006-07-16,53.39
00751X0004/S1,2006-07-17,53.37
00751X0004/S1,2006-07-18,53.39
00751X0004/S1,2006-07-19,53.39
00751X0004/S1,2006-07-20,53.37
00751X0004/S1,2006-07-21,53.39
00751X0004/S1,2006-07-22,53.39
00751X0004/S1,2006-07-23,53.39
00751X0004/S1,2006-07-24,53.39
00751X0004/S1,2006-07-25,53.39
00751X0004/S1,2006-07-26,53.39
00751X0004/S1,2006-07-27,53.39
00751X0004/S1,2006-07-28,53.39
00751X0004/S1,2006-07-29,53.39
00751X0004/S1,2006-07-30,53.39
00751X0004/S1,2006-07-31,53.39
00751X0004/S1,2006-08-01,53.41
00751X0004/S1,2006-08-02,53.39
00751X0004/S1,2006-08-03,53.41
00751X0004/S1,2006-08-04,53.39
00751X0004/S1,2006-08-05,53.39
00751X0004/S1,2006-08-06,53.39
00751X0004/S1,2006-08-07,53.39
00751X0004/S1,2006-08-08,53.39
00751X0004/S1,2006-08-09,53.39
00751X0004/S1,2006-08-10,53.37
00751X0004/S1,2006-08-11,53.39
00751X0004/S1,2006-08-12,53.39
00751X0004/S1,2006-08-13,53.39
00751X0004/S1,2006-08-14,53.39
00751X0004/S1,2006-08-15,53.39
00751X0004/S1,2006-08-16,53.39
00751X0004/S1,2006-08-17,53.39
00751X0004/S1,2006-08-18,53.39
00751X0004/S1,2006-08-19,53.39
00751X0004/S1,2006-08-20,53.39
00751X0004/S1,2006-08-21,53.37
00751X0004/S1,2006-08-22,53.37
00751X0004/S1,2006-08-23,53.37
00751X0004/S1,2006-08-24,53.37
00751X0004/S1,2006-08-25,53.37
00751X0004/S1,2006-08-26,53.37
00751X0004/S1,2006-08-27,53.36
00751X0004/S1,2006-08-28,53.36
00751X0004/S1,2006-08-29,53.36
00751X0004/S1,2006-08-30,53.36
00751X0004/S1,2006-08-31,53.36
00751X0004/S1,2006-09-01,53.36
00751X0004/S1,2006-09-02,53.36
00751X0004/S1,2006-09-03,53.36
00751X0004/S1,2006-09-04,53.34
00751X0004/S1,2006-09-05,53.34
00751X0004/S1,2006-09-06,53.34
00751X0004/S1,2006-09-07,53.34
00751X0004/S1,2006-09-08,53.32
00751X0004/S1,2006-09-09,53.32
00751X0004/S1,2006-09-10,53.32
00751X0004/S1,2006-09-11,53.32
00751X0004/S1,2006-09-12,53.34
00751X0004/S1,2006-09-13,53.32
00751X0004/S1,2006-09-14,53.34
00751X0004/S1,2006-09-15,53.34
00751X0004/S1,2006-09-16,53.34
00751X0004/S1,2006-09-17,53.34
00751X0004/S1,2006-09-18,53.32
00751X0004/S1,2006-09-19,53.32
00751X0004/S1,2006-09-20,53.32
00751X0004/S1,2006-09-21,53.32
00751X0004/S1,2006-09-22,53.32
00751X0004/S1,2006-09-23,53.32
00751X0004/S1,2006-09-24,53.32
00751X0004/S1,2006-09-25,53.32
00751X0004/S1,2006-09-26,53.32
00751X0004/S1,2006-09-27,53.32
00751X0004/S1,2006-09-28,53.3
00751X0004/S1,2006-09-29,53.3
00751X0004/S1,2006-09-30,53.3
00751X0004/S1,2006-10-01,53.3
00751X0004/S1,2006-10-02,53.32
00751X0004/S1,2006-10-03,53.34
00751X0004/S1,2006-10-04,53.32
00751X0004/S1,2006-10-05,53.32
00751X0004/S1,2006-10-06,53.34
00751X0004/S1,2006-10-07,53.34
00751X0004/S1,2006-10-08,53.37
00751X0004/S1,2006-10-09,53.55
00751X0004/S1,2006-10-10,53.5
00751X0004/S1,2006-10-11,53.5
00751X0004/S1,2006-10-12,53.48
00751X0004/S1,2006-10-13,53.46
00751X0004/S1,2006-10-14,53.46
00751X0004/S1,2006-10-15,53.45
00751X0004/S1,2006-10-16,53.46
00751X0004/S1,2006-10-17,53.46
00751X0004/S1,2006-10-18,53.46
00751X0004/S1,2006-10-19,53.48
00751X0004/S1,2006-10-20,53.48
00751X0004/S1,2006-10-21,53.48
00751X0004/S1,2006-10-22,53.46
00751X0004/S1,2006-10-23,53.46
00751X0004/S1,2006-10-24,53.5
00751X0004/S1,2006-10-25,53.48
00751X0004/S1,2006-10-26,53.48
00751X0004/S1,2006-10-27,53.46
00751X0004/S1,2006-10-28,53.46
